"year","Obs_sd","crop","treatment_scen","Model","yield_val"
2010,NA,"Cotton","Rmv Resid 0%, Crop Rotation","APSIM",1.098
2010,NA,"Cotton","Rmv Resid 0%, Crop Rotation","Daycent",1.02402222222222
2003,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","Observed",NA
2003,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.727
2003,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",NA
2005,0.473455661738329,"Sorghum","Rmv Resid 0%, Crop Rotation","Observed",2.51238317037037
2005,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.139
2005,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",3.87638888888889
2007,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","Observed",NA
2007,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",2.178
2007,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",0.703388888888889
2009,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","Observed",NA
2009,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","APSIM",1.448
2009,NA,"Sorghum","Rmv Resid 0%, Crop Rotation","Daycent",0.700913333333333
2003,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2003,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","APSIM",NA
2003,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Daycent",0
2004,0.141141947636824,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Observed",0.582407407407407
2004,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","APSIM",0.632
2004,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Daycent",2.54370888888889
2006,0.029314993214403,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Observed",0.138925925925926
2006,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.279
2006,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Daycent",0.380157777777778
2008,0.09385859554026,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Observed",0.47312962962963
2008,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","APSIM",0.755
2008,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Daycent",1.30689111111111
2010,0.0747224494007286,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Observed",0.974444444444444
2010,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","APSIM",0.808
2010,NA,"Cotton","Rmv Resid 0%, No Till, Crop Rotation","Daycent",0.880637777777778
2003,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2003,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.731
2003,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",1.47381555555556
2005,0.657792606762805,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Observed",2.23208491851852
2005,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",2.225
2005,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",3.13080222222222
2007,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2007,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",2.222
2007,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",0.351317777777778
2009,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Observed",NA
2009,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","APSIM",1.597
2009,NA,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation","Daycent",0.461264444444444
2003,NA,"Cotton","Continuous Crop","Observed",NA
2003,NA,"Cotton","Continuous Crop","APSIM",0.894
2003,NA,"Cotton","Continuous Crop","Daycent",0
2004,NA,"Cotton","Continuous Crop","Observed",NA
2004,NA,"Cotton","Continuous Crop","APSIM",0.723
2004,NA,"Cotton","Continuous Crop","Daycent",3.24397777777778
2005,0.0735551569307761,"Cotton","Continuous Crop","Observed",0.868666666666667
2005,NA,"Cotton","Continuous Crop","APSIM",1.193
2005,NA,"Cotton","Continuous Crop","Daycent",1.34884888888889
2006,0.0211228768382985,"Cotton","Continuous Crop","Observed",0.150111111111111
2006,NA,"Cotton","Continuous Crop","APSIM",1.069
2006,NA,"Cotton","Continuous Crop","Daycent",0.339028888888889
2007,0.0655178799458026,"Cotton","Continuous Crop","Observed",1.19355555555556
2007,NA,"Cotton","Continuous Crop","APSIM",0.688
2007,NA,"Cotton","Continuous Crop","Daycent",0.766273333333333
2008,0.0666944386598174,"Cotton","Continuous Crop","Observed",0.459444444444444
2008,NA,"Cotton","Continuous Crop","APSIM",1.136
2008,NA,"Cotton","Continuous Crop","Daycent",0.970733333333333
2009,NA,"Cotton","Continuous Crop","Observed",NA
2009,NA,"Cotton","Continuous Crop","APSIM",0.568
2009,NA,"Cotton","Continuous Crop","Daycent",0.50944
2010,0.0617638873272868,"Cotton","Continuous Crop","Observed",1.07466666666667
2010,NA,"Cotton","Continuous Crop","APSIM",1.099
2010,NA,"Cotton","Continuous Crop","Daycent",0.997904444444444
2003,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Observed",NA
2003,NA,"Cotton","No Till, Cover Crop, Crop Rotation","APSIM",0.966
2003,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Daycent",0
2003,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Observed",NA
2003,NA,"Cotton","No Till, Cover Crop, Crop Rotation","APSIM",0.966
2003,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Daycent",0.296406666666667
2005,0.150672614906346,"Cotton","No Till, Cover Crop, Crop Rotation","Observed",0.891259259259259
2005,NA,"Cotton","No Till, Cover Crop, Crop Rotation","APSIM",0.991
2005,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Daycent",0.944137777777778
2007,0.106327948894208,"Cotton","No Till, Cover Crop, Crop Rotation","Observed",1.19225925925926
2007,NA,"Cotton","No Till, Cover Crop, Crop Rotation","APSIM",1
2007,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Daycent",0.515137777777778
2008,0.0901697644432605,"Cotton","No Till, Cover Crop, Crop Rotation","Observed",0.365518518518519
2008,NA,"Cotton","No Till, Cover Crop, Crop Rotation","APSIM",1.007
2008,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Daycent",1.02694222222222
2009,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Observed",NA
2009,NA,"Cotton","No Till, Cover Crop, Crop Rotation","APSIM",0.735
2009,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Daycent",0.24658
2010,0.0535088258555954,"Cotton","No Till, Cover Crop, Crop Rotation","Observed",1.02988888888889
2010,NA,"Cotton","No Till, Cover Crop, Crop Rotation","APSIM",0.362
2010,NA,"Cotton","No Till, Cover Crop, Crop Rotation","Daycent",0.397802222222222
2004,0.611270477695848,"Sorghum","No Till, Cover Crop, Crop Rotation","Observed",0.905833088758934
2004,NA,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",2.492
2004,NA,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",5.59016
2006,NA,"Sorghum","No Till, Cover Crop, Crop Rotation","Observed",NA
2006,NA,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",0.959
2006,NA,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",NA
2007,0.1929176745834,"Sorghum","No Till, Cover Crop, Crop Rotation","Observed",0.258222222222222
2007,NA,"Sorghum","No Till, Cover Crop, Crop Rotation","APSIM",NA
2007,NA,"Sorghum","No Till, Cover Crop, Crop Rotation","Daycent",1.97366666666667
